cont_id,transaction_id,line_id,transaction_date,prod_price_net,prod_id,prod_family,cont_residency_zip,cont_residency_city,store_name
100101822,100102886,10012,9/10/2018,35823,790182154,COMPLEMENTARY PIECES,33432,BOCA RATON FL,MANHASSET
100202816,100203083,10002,6/30/2019,0,790274783,STORAGE UNITS,19317,CHADDS FORDS,
100505015,100502438,10003,8/18/2016,9667,100054273,SERVICE NO MARGIN,2110,BOSTON,BOSTON
100000871,100000905,10001,7/14/2007,8951,900012385,MEUBLE SALLE A MANGER,10023,NEW YORK,
101702083,101702753,10001,1/25/2018,21434,100054273,SERVICE NO MARGIN,10065,NEW YORK,
101200903,101200990,10002,2/28/2018,1214,790265715,ACCESSORIES,33140,MIAMI BEACH,
100003443,100009785,10001,11/8/2014,194,100056465,ACCESSORIES,33009,HALLENDALE,
100407251,100402928,10003,1/4/2018,9186,101101914,SERVICE NO MARGIN,60015,DEERFIELD,
100005385,100008651,10011,4/3/2014,34145,100056356,SOFAS,11050,SANDS POINT,
100013826,100015288,10004,9/20/2017,1546,100054273,SERVICE NO MARGIN,,,MADISON
100407288,100402911,10002,12/18/2017,3164,101101914,SERVICE NO MARGIN,62220,BELLEVILLE,CHICAGO
100003511,100010656,10005,4/29/2015,31525,790159631,SOFAS,10024,NEW YORK,
100600876,100601143,10007,10/29/2014,27106,790206450,SOFAS,2043,HINGHAM,
101500459,101500453,10002,5/31/2013,12875,790142613,SOFAS,33166,MIAMI,
101105025,101101913,10003,5/6/2017,8718,100053863,SALON SIEGES,22102,Mc Lean,
100006441,100007873,10001,10/15/2013,3369,790027677,SOFAS,6824,FAIRFEILD,
101504485,101503360,10001,7/18/2018,4774,790046953,CHAIRS,33139,MIAMI BEACH FLORIDA,CORAL GABLES
100100899,100101688,10003,8/1/2015,20970,790157883,TABLES,11576,ROSLYN,MANHASSET
100504558,100501961,10010,6/25/2015,36097,101101914,SERVICE NO MARGIN,1921,Boxford,
100200145,100200207,10017,2/24/2010,52229,100054082,DECO OBJETS DE DECORAT,19123,PHILADELPHIA,PHILADELPHIA
100600583,100600673,10001,4/30/2013,13373,790012830,SOFAS,1915,Beverly Farms,
100015030,100017011,10003,6/1/2018,3681,100054273,SERVICE NO MARGIN,11233,BROOKLYN,
100016744,100019938,10003,7/26/2019,53275,100060862,CHAIRS,10016,NEW YORK,
101600755,101601432,10003,4/4/2018,0,790138661,SOFAS,8053,NEW JERSEY,PALM BEACH
101502317,101502868,10003,10/19/2017,6447,790231217,ACCESSORIES,10128,NEW YORK,CORAL GABLES
102200484,102200807,10007,1/27/2018,26580,101700021,DECO DECO,7652,PARAMUS,
100601045,100601467,10001,8/8/2015,9828,790148904,SOFAS,1040,Holyoke,
100009104,100008884,10009,5/18/2014,35134,790159605,SOFAS,6902,STAMFORD,
100010683,100013393,10004,10/12/2016,13550,790233094,COMPLEMENTARY PIECES,10001,NEW YORK,
100013915,100015429,10001,10/11/2017,6393,790207604,BEDS,,,MADISON
100013023,100018946,10002,2/27/2019,0,101101914,SERVICE NO MARGIN,11743,HUNTINGTON,
101500751,101500831,10021,1/31/2014,78786,100054721,DECO TAPIS,33149,KEY BISCAYNE,
100600429,100600813,10007,9/19/2013,24789,790139848,COMPLEMENTARY PIECES,1451,HARVARD MA,NATICK
100004586,100005017,10009,11/21/2011,28402,790027677,SOFAS,11238,BROOKLYN,
100504335,100503936,10011,10/11/2019,67023,100500155,ACCESSORIES,,TAMUING   GUAM     96913,BOSTON
100504335,100502250,10005,2/22/2016,99858,790139838,COCKTAIL TABLES,,TAMUING   GUAM     96913,BOSTON
100504335,100008183,10005,12/31/2013,0,790151775,ARMCHAIRS,,,MADISON
