cont_id,transaction_id,line_id,transaction_date,prod_price_net,prod_id,prod_family,cont_residency_zip,cont_residency_city,store_name
100504335,100503936,10010,2019-10-11,67023.0,100059589,COMPLEMENTARY PIECES,nan,TAMUING   GUAM     96913,BOSTON
100503937,100502037,10003,2015-09-10,14395.0,101500574,ACCESSORIES,2116,BOSTON MA,BOSTON
100505015,100502438,10003,2016-08-18,9667.0,100054273,SERVICE NO MARGIN,2110,BOSTON,BOSTON
100504335,100503936,10011,2019-10-11,67023.0,100500155,ACCESSORIES,nan,TAMUING   GUAM     96913,BOSTON
100504335,100502250,10005,2016-02-22,99858.0,790139838,COCKTAIL TABLES,nan,TAMUING   GUAM     96913,BOSTON
